+------------------------+------------+-------+---------------+-----------+----------+-----------+-----------+------------+------------+-------------+--------------------------+----------------------------------------------+-------------+--------------+--------------------+-------------+

--> Deactivating: IMPV
+------------------------+------------+-------+---------------+-----------+----------+-----------+-----------+------------+------------+-------------+--------------------------+----------------------------------------------+-------------+--------------+--------------------+-------------+
|        DateTime        | SizeVolume | Price | DerivedChange | SignalPPC | SignalDI | SignalCCI | SignalRSI | SignalMACD | SignalTRIX | SignalTotal | PositionGovernorResponse |               StrategyResponse               | SignalPoint | SignalMetric | TransactionDetails | BankBalance |
+------------------------+------------+-------+---------------+-----------+----------+-----------+-----------+------------+------------+-------------+--------------------------+----------------------------------------------+-------------+--------------+--------------------+-------------+
| 2012/08/28 11:30:30 AM |          2 | 30.98 |         +0.01 |        14 |      110 |        11 |        43 |         -5 |         38 |        76.0 |       changed_long_entry |           algorithm_changed, proceed_changed |  long_entry |    metric_di |            4989.87 |    44416.57 |
| 2012/08/28 11:32:30 AM |          3 |  31.0 |         +0.01 |         8 |      119 |        15 |        44 |         -2 |         15 |        81.0 |                     none |                                   none, none |        none |         none |              -0.96 |    49392.44 |
| 2012/08/28 11:34:30 AM |          0 |  31.0 |           0.0 |         3 |       76 |        15 |        39 |          9 |          5 |        57.0 |                     none |                                            - |        none |         none |              -0.96 |    39387.29 |
| 2012/08/28 11:36:30 AM |          2 | 31.13 |         +0.06 |         2 |      102 |        82 |        42 |          1 |          4 |        72.0 |                     none |                                            - |        none |         none |             +19.97 |    44324.26 |
| 2012/08/28 11:38:30 AM |          0 | 31.17 |         +0.04 |        10 |      115 |        45 |        43 |         -3 |         12 |        79.0 |                     none |                                            - |        none |         none |             +26.41 |    39310.17 |
| 2012/08/28 11:40:30 AM |          0 | 31.12 |           0.0 |        14 |       75 |        21 |        35 |         -1 |         36 |        55.0 |        changed_long_exit | algorithm_disable, cease_condition_nilvolume |        none |         none |    5008.23(+18.36) |    54229.64 |
| 2012/08/28 11:42:30 AM |          0 | 31.15 |         -0.02 |        14 |       89 |        21 |        35 |        -11 |         34 |        62.0 |                     none |                                            - |        none |         none |               none |    69204.07 |
| 2012/08/28 11:44:30 AM |          0 | 31.15 |           0.0 |        17 |      117 |        17 |        37 |         -4 |         33 |        77.0 |                     none |                                            - |        none |         none |               none |    64203.76 |
| 2012/08/28 11:46:30 AM |          0 | 31.14 |         -0.01 |        16 |      111 |        12 |        37 |          0 |         20 |        74.0 |                     none |                                            - |        none |         none |               none |    64156.68 |
| 2012/08/28 11:48:30 AM |          0 | 31.15 |           0.0 |        15 |      111 |        13 |        37 |          0 |         15 |        74.0 |                     none |                                            - |        none |         none |               none |    54165.09 |
| 2012/08/28 11:50:30 AM |          0 | 31.13 |         -0.04 |        15 |       80 |         6 |        34 |          1 |         12 |        57.0 |                     none |                                            - |        none |         none |               none |    49173.32 |
| 2012/08/28 11:52:30 AM |          0 | 31.17 |         +0.01 |        14 |       90 |        19 |        35 |         -2 |          7 |        62.0 |                     none |                                            - |        none |         none |               none |    54157.55 |
